level,latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
1,33.10857,-97.08866,180.40439,-4.12477,-1.30854,0.02145
1,33.10844,-97.05659,180.49814,-4.99977,-1.12104,0.00264
1,33.10831,-97.02453,178.49814,-6.49977,-1.37104,0.02415
1,33.10817,-96.99246,168.15439,-8.49977,-2.37104,0.02145
1,33.10801,-96.96039,167.81064,-7.93727,-1.74604,-0.0108
1,33.10785,-96.92832,173.74814,-6.06227,-0.99604,-0.00811
1,33.13612,-97.63388,241.77939,1.25023,3.00396,0.03759
1,33.13615,-97.6018,252.74814,-0.43727,0.69146,0.00265
1,33.13618,-97.56972,257.84189,1.31273,-0.68354,-4e-05
1,33.13619,-97.53764,282.62314,3.18773,-0.55854,0.01615
1,33.1362,-97.50556,294.18564,1.25023,0.94146,0.01888
1,33.1362,-97.47348,282.93564,-3.87477,1.75396,0.0324
1,33.13619,-97.4414,259.99814,-6.87477,1.12896,0.04313
1,33.13616,-97.40932,249.06064,-7.24977,-0.24604,0.00804
1,33.13613,-97.37724,247.24814,-6.68727,-1.18354,0.02421
1,33.13609,-97.34516,225.43564,-6.12477,-1.49604,0.02955
1,33.13604,-97.31308,221.52939,-6.49977,-1.62104,-4e-05
1,33.13598,-97.281,220.12314,-7.49977,-1.74604,-0.02427
1,33.13591,-97.24892,234.52939,-8.12477,-1.93354,-0.02429
1,33.13584,-97.21684,230.93564,-7.06227,-2.18354,0.02418
1,33.13575,-97.18476,212.65439,-3.81227,-2.55854,0.01071
1,33.13565,-97.15268,204.37314,-0.93727,-2.43354,0.00264
1,33.13555,-97.1206,187.90439,-1.56227,-2.05854,0.00533
1,33.13543,-97.08852,195.46689,-3.81227,-1.87104,-0.01081
1,33.13531,-97.05644,193.31064,-5.06227,-1.93354,0.02148
1,33.13517,-97.02436,174.24814,-5.56227,-2.30854,0.02413
1,33.13503,-96.99228,175.31064,-5.81227,-3.18354,-0.00541
1,33.13488,-96.9602,170.02939,-5.62477,-2.55854,-4e-05
1,33.13471,-96.92812,176.59189,-5.93727,-1.80854,-0.01619
1,33.16298,-97.63393,254.43564,-1.37477,1.94146,0.01073
1,33.16302,-97.60184,266.96689,-2.43727,0.31646,-0.01083
1,33.16304,-97.56975,274.52939,0.75023,-1.43354,-0.01354
1,33.16306,-97.53766,299.18564,3.75023,-0.99604,-0.00275
1,33.16306,-97.50556,283.77939,2.62523,1.31646,-0.00544
1,33.16306,-97.47347,268.68564,-2.93727,2.19146,0.02965
1,33.16305,-97.44138,268.09189,-7.56227,1.31646,0.01076
1,33.16303,-97.40929,264.40439,-8.31227,-0.05854,0.03505
1,33.163,-97.3772,241.43564,-7.24977,-0.80854,0.05114
1,33.16296,-97.34511,225.52939,-6.49977,-1.05854,-0.00274
1,33.16291,-97.31301,235.27939,-6.81227,-1.18354,-0.01082
1,33.16285,-97.28092,230.37314,-7.56227,-1.24604,-0.00543
1,33.16278,-97.24883,236.77939,-7.99977,-1.12104,0.01611
1,33.1627,-97.21674,216.52939,-6.87477,-0.93354,0.0322
1,33.16261,-97.18465,205.77939,-3.62477,-0.80854,-0.00273
1,33.16252,-97.15256,194.37314,-0.74977,-1.05854,-0.00541
1,33.16241,-97.12047,204.96689,-1.18727,-1.37104,-0.00542
1,33.16229,-97.08838,202.31064,-3.56227,-1.49604,0.01608
1,33.16217,-97.05628,188.65439,-6.18727,-1.74604,0.04563
1,33.16204,-97.02419,172.31064,-7.43727,-2.49604,-4e-05
1,33.16189,-96.9921,184.71689,-6.24977,-2.62104,-0.02423
1,33.16174,-96.96001,174.59189,-5.06227,-2.49604,0.00264
1,33.16158,-96.92792,177.93564,-5.12477,-2.30854,-0.00542
1,33.18985,-97.63398,267.06064,-3.12477,1.31646,0.00265
1,33.18988,-97.60187,281.34189,-4.24977,0.31646,-0.02976
1,33.18991,-97.56977,303.12314,-0.18727,-1.74604,-0.04062
1,33.18992,-97.53767,304.59189,4.81273,-1.05854,-0.02438
1,33.18993,-97.50557,292.31064,4.18773,1.81646,0.01076
1,33.18993,-97.47346,291.74814,-2.62477,2.37896,0.05138
1,33.18991,-97.44136,277.49814,-8.43727,1.06646,0.05945
1,33.18989,-97.40926,257.81064,-8.99977,-0.12104,0.07014
1,33.18986,-97.37715,234.40439,-7.74977,-0.80854,0.01342
1,33.18982,-97.34505,246.46689,-6.93727,-1.12104,-0.02702
1,33.18977,-97.31295,246.59189,-6.87477,-1.12104,0.01613
1,33.18971,-97.28085,234.52939,-7.37477,-0.99604,0.03495
1,33.18964,-97.24874,221.40439,-7.56227,-0.74604,0.04028
1,33.18957,-97.21664,206.15439,-6.43727,-0.43354,0.02143
1,33.18948,-97.18454,200.21689,-3.87477,-0.30854,-0.01077
1,33.18938,-97.15244,213.52939,-1.74977,-0.74604,-0.01079
1,33.18927,-97.12033,212.71689,-1.93727,-1.24604,0.0134
1,33.18916,-97.08823,196.46689,-3.56227,-1.30854,0.02951
1,33.18903,-97.05613,181.74814,-5.68727,-1.43354,0.03484
1,33.1889,-97.02403,174.31064,-7.31227,-2.24604,-0.0242
1,33.18876,-96.99193,194.46689,-6.93727,-1.99604,-0.01887
1,33.1886,-96.95982,179.12314,-5.49977,-2.12104,0.02144
1,33.18844,-96.92772,173.84189,-4.62477,-2.68354,-0.0081
1,33.21671,-97.63402,280.74814,-4.37477,0.50396,-0.02975
1,33.21675,-97.60191,310.84189,-5.49977,-0.24604,-0.05152
1,33.21677,-97.5698,326.09189,-0.68727,-1.37104,-0.04612
1,33.21679,-97.53768,307.09189,6.00023,-0.55854,-0.04869
1,33.2168,-97.50557,298.99814,5.06273,2.00396,0.00266
1,33.21679,-97.47345,291.65439,-3.37477,1.81646,0.04871
