latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s]
33.00125,-97.12126,1848.97815,-3.97641,17.78695,0.47605
33.00113,-97.08923,1861.6969,-4.28891,18.34945,0.72606
33.00101,-97.05721,1859.0719,-4.91391,18.41195,0.82419
33.00087,-97.02519,1847.72815,-5.35141,18.59945,0.51264
33.00073,-96.99316,1841.3844,-6.16391,18.78695,0.20109
33.00058,-96.96114,1827.3844,-6.78891,18.41195,0.47879
33.00041,-96.92912,1833.91565,-6.10141,17.91195,0.81229
33.02868,-97.6337,1923.91565,-3.53891,15.28695,-0.19349
33.02871,-97.60166,1902.10315,-3.28891,15.91195,-0.42574
33.02873,-97.56963,1891.47815,-3.41391,15.78695,0.16184
33.02875,-97.53759,1884.22815,-4.03891,15.28695,0.33418
33.02876,-97.50555,1906.3844,-4.16391,15.22445,-2.10052
33.02875,-97.47352,1923.16565,-2.60141,14.97445,-0.77139
33.02874,-97.44148,1931.47815,-2.10141,17.22445,3.14557
33.02872,-97.40945,1919.5719,-0.72641,27.47445,0.2687
33.02869,-97.37741,1910.7594,2.27359,25.66195,-0.63897
33.02865,-97.34538,1895.91565,2.33609,19.53695,-0.85788
33.0286,-97.31334,1883.6969,1.39859,18.28695,-0.90355
33.02854,-97.2813,1872.47815,1.64859,18.72445,-1.0137
33.02847,-97.24927,1863.16565,1.33609,17.78695,-0.9623
33.02839,-97.21723,1858.60315,-0.97641,16.09945,-1.04953
33.02831,-97.1852,1850.7594,-3.53891,15.53695,-1.15364
33.02821,-97.15316,1857.7594,-4.35141,17.09945,-0.49785
33.0281,-97.12113,1867.29065,-4.22641,18.03695,0.59639
33.02799,-97.08909,1873.29065,-4.97641,17.41195,0.82724
33.02786,-97.05706,1859.66565,-6.16391,16.97445,0.70341
33.02773,-97.02502,1851.72815,-6.47641,17.22445,0.05548
33.02759,-96.99299,1840.9469,-5.85141,18.16195,-0.56982
33.02743,-96.96095,1832.22815,-4.72641,18.91195,-0.7729
33.02727,-96.92892,1840.60315,-3.28891,19.03695,-0.58248
33.05553,-97.63374,1919.72815,-4.60141,15.53695,-0.76894
33.05557,-97.6017,1901.79065,-5.85141,17.03695,0.25786
33.05559,-97.56965,1881.35315,-6.78891,16.91195,1.0633
33.05561,-97.5376,1882.1969,-6.03891,15.91195,1.0728
33.05562,-97.50556,1913.60315,-3.97641,15.84945,-1.02276
33.05561,-97.47351,1941.47815,-2.85141,15.78695,-0.52391
33.0556,-97.44146,1927.60315,-3.41391,16.84945,0.82159
33.05558,-97.40942,1924.66565,-2.78891,23.72445,0.21942
33.05555,-97.37737,1912.6344,-1.47641,22.59945,-0.18584
33.05551,-97.34532,1901.3219,-1.78891,19.22445,-0.11685
33.05546,-97.31327,1888.29065,-2.85141,17.97445,-0.02561
33.0554,-97.28123,1866.8844,-3.66391,18.41195,0.20775
33.05533,-97.24918,1865.60315,-4.28891,18.28695,-0.03203
33.05525,-97.21713,1866.10315,-5.10141,17.09945,-0.26198
33.05516,-97.18509,1865.54065,-5.78891,16.28695,-0.30715
33.05507,-97.15304,1875.97815,-5.41391,16.97445,0.34056
33.05496,-97.121,1872.47815,-4.85141,17.34945,1.11937
33.05485,-97.08895,1866.0094,-5.10141,16.59945,0.94055
33.05472,-97.0569,1861.5719,-6.22641,15.78695,0.85299
33.05459,-97.02486,1852.0094,-7.41391,15.53695,0.31763
33.05445,-96.99281,1837.8844,-7.41391,16.41195,-0.11594
33.05429,-96.96076,1830.2594,-6.28891,17.91195,-0.32893
33.05413,-96.92872,1842.97815,-4.91391,19.16195,-0.54295
33.0824,-97.63379,1896.04065,-4.97641,15.53695,0.85789
33.08243,-97.60173,1881.3844,-7.66391,17.53695,2.3121
33.08245,-97.56967,1879.1969,-8.60141,17.78695,1.8841
33.08247,-97.53762,1885.79065,-6.03891,17.09945,1.73757
33.08248,-97.50556,1915.54065,-1.35141,17.41195,0.65949
33.08247,-97.4735,1950.6344,-0.03891,16.47445,-0.32887
33.08246,-97.44144,1941.3219,-2.91391,16.47445,-0.05181
33.08244,-97.40938,1932.54065,-3.85141,20.34945,-0.29024
33.08241,-97.37733,1918.97815,-2.41391,21.34945,-0.03553
33.08237,-97.34527,1902.1344,-1.22641,19.97445,0.15025
33.08232,-97.31321,1885.1969,-0.47641,18.22445,0.1889
33.08226,-97.28115,1871.0719,-0.41391,17.59945,0.59713
33.08219,-97.24909,1881.60315,-0.28891,17.72445,0.60116
33.08211,-97.21704,1882.85315,-0.03891,16.97445,0.41259
33.08203,-97.18498,1881.91565,-0.78891,15.91195,0.53265
33.08193,-97.15292,1880.91565,-2.03891,15.78695,0.93525
33.08182,-97.12086,1870.54065,-2.47641,16.66195,0.98389
33.08171,-97.08881,1867.2594,-2.47641,17.03695,0.62983
33.08158,-97.05675,1857.91565,-3.41391,16.53695,0.81103
33.08145,-97.02469,1847.0719,-5.16391,15.59945,0.75173
33.08131,-96.99263,1840.6969,-6.41391,15.09945,0.78948
33.08115,-96.96058,1840.35315,-6.47641,15.59945,0.86005
33.08099,-96.92852,1844.6969,-6.03891,16.97445,0.841
33.10926,-97.63384,1871.3219,-5.22641,15.09945,2.99905
33.10929,-97.60177,1881.97815,-7.47641,17.34945,2.68424
33.10932,-97.5697,1893.72815,-7.66391,17.84945,1.18176
33.10933,-97.53763,1906.85315,-4.66391,17.78695,1.00247
33.10934,-97.50556,1935.66565,1.58609,19.03695,1.04828
33.10934,-97.47349,1953.5719,5.08609,18.59945,0.04928
33.10932,-97.44142,1940.5094,1.89859,17.28695,0.05578
33.1093,-97.40935,1928.79065,-1.78891,18.72445,-0.12682
33.10927,-97.37728,1910.1344,-1.60141,20.72445,-0.2084
33.10923,-97.34521,1892.6344,0.58609,20.47445,-0.20179
33.10918,-97.31314,1877.29065,2.64859,18.91195,-0.1202
33.10912,-97.28108,1879.10315,3.89859,17.72445,0.04926
33.10905,-97.24901,1899.22815,4.71109,17.53695,0.07228
