latitude,longitude,gh[gpm]_lev1,gh[gpm]_lev2,gh[gpm]_lev3,gh[gpm]_lev4,gh[gpm]_lev5,gh[gpm]_lev6,gh[gpm]_lev7,gh[gpm]_lev8,gh[gpm]_lev9,gh[gpm]_lev10,gh[gpm]_lev11,gh[gpm]_lev12,gh[gpm]_lev13,gh[gpm]_lev14,gh[gpm]_lev15,gh[gpm]_lev16,gh[gpm]_lev17,gh[gpm]_lev18,gh[gpm]_lev19,gh[gpm]_lev20,gh[gpm]_lev21,gh[gpm]_lev22,gh[gpm]_lev23,gh[gpm]_lev24,gh[gpm]_lev25,gh[gpm]_lev26,gh[gpm]_lev27,gh[gpm]_lev28,gh[gpm]_lev29,gh[gpm]_lev30,gh[gpm]_lev31,gh[gpm]_lev32,gh[gpm]_lev33,gh[gpm]_lev34,gh[gpm]_lev35,gh[gpm]_lev36,gh[gpm]_lev37,gh[gpm]_lev38,gh[gpm]_lev39,gh[gpm]_lev40,gh[gpm]_lev41,gh[gpm]_lev42,gh[gpm]_lev43,gh[gpm]_lev44,gh[gpm]_lev45,gh[gpm]_lev46,gh[gpm]_lev47,gh[gpm]_lev48,gh[gpm]_lev49,gh[gpm]_lev50
32.787,-97.314,192.623,221.135,270.948,353.0,472.418,628.326,815.963,1029.385,1269.554,1543.312,1855.759,2210.148,2610.49,3061.596,3569.765,4141.229,4767.678,5414.367,6046.608,6654.293,7239.011,7801.753,8341.68,8857.471,9348.482,9814.268,10258.491,10685.453,11094.162,11493.03,11901.745,12331.837,12786.773,13273.629,13801.725,14380.689,15019.889,15731.381,16517.939,17334.715,18117.318,18868.152,19641.488,20465.123,21342.555,22288.773,23335.52,24519.695,25883.455,27516.305
32.787,-97.282,178.873,207.385,257.229,339.312,458.793,614.888,802.807,1016.698,1257.46,1531.905,1844.916,2199.68,2600.115,3051.19,3559.483,4132.042,4762.428,5415.992,6053.671,6662.762,7247.136,7809.597,8349.305,8864.721,9355.295,9820.736,10264.679,10691.516,11100.225,11499.187,11908.089,12338.149,12792.898,13279.566,13807.381,14386.033,15025.17,15736.818,16524.096,17341.652,18124.6,18875.34,19648.738,20472.498,21348.961,22294.023,23341.176,24525.758,25888.33,27520.93
32.787,-97.25,168.654,197.166,247.011,329.187,448.855,605.138,793.244,1007.385,1248.429,1523.03,1836.009,2190.555,2590.834,3041.659,3549.577,4121.604,4751.646,5406.867,6049.015,6663.48,7251.854,7816.565,8357.305,8873.252,9364.076,9829.455,10273.241,10699.953,11108.568,11507.499,11916.589,12346.993,12803.273,13291.348,13818.881,14396.533,15034.451,15745.162,16532.502,17351.184,18135.006,18885.59,19658.332,20481.779,21357.773,22302.367,23350.238,24535.664,25897.268,27529.242
32.787,-97.218,169.873,198.416,248.261,330.406,449.949,605.982,793.463,1006.573,1246.367,1519.843,1832.103,2186.148,2586.084,3036.628,3543.077,4111.886,4738.209,5390.742,6032.546,6648.918,7240.479,7808.722,8352.805,8872.314,9367.139,9836.518,10283.897,10713.547,11124.443,11525.062,11935.308,12365.524,12820.367,13307.535,13834.225,14410.064,15046.076,15755.85,16543.439,17363.527,18148.35,18898.434,19669.801,20492.342,21368.242,22313.211,23362.363,24549.102,25910.393,27541.617
32.787,-97.186,166.873,195.416,245.261,327.406,446.886,602.826,790.057,1002.698,1241.835,1514.78,1826.759,2180.961,2581.084,3032.44,3540.827,4110.167,4733.834,5382.21,6020.796,6635.543,7226.948,7796.065,8341.68,8863.221,9360.701,9833.143,10283.585,10715.891,11129.006,11531.562,11943.308,12374.743,12827.992,13311.004,13835.131,14409.877,15045.357,15755.131,16543.439,17365.371,18151.506,18900.996,19670.707,20491.842,21367.68,22313.711,23364.457,24552.445,25914.174,27544.898
32.787,-97.154,158.967,187.51,237.354,319.468,438.918,594.763,781.994,994.823,1234.46,1507.999,1820.478,2174.961,2575.303,3026.659,3536.14,4109.198,4735.896,5383.585,6019.421,6631.949,7222.386,7791.284,8336.523,8857.221,9353.795,9825.643,10275.616,10707.766,11120.975,11523.812,11935.964,12368.493,12822.555,13303.223,13824.381,14398.533,15034.295,15743.725,16532.377,17356.152,18143.35,18892.184,19660.457,20480.217,21355.93,22303.398,23355.551,24544.195,25906.768,27537.617
32.786,-97.122,164.217,192.76,242.604,324.75,444.23,600.107,787.494,1000.854,1241.148,1515.249,1828.072,2182.367,2581.99,3032.034,3539.733,4111.354,4737.553,5385.273,6021.171,6633.637,7223.636,7791.315,8334.586,8853.377,9348.326,9818.611,10267.116,10698.078,11110.506,11512.937,11925.464,12359.524,12816.242,13298.41,13819.162,14393.439,15029.201,15737.725,16526.283,17351.184,18138.912,18887.09,19654.238,20472.779,21348.273,22296.992,23349.582,24537.945,25901.174,27532.617
32.786,-97.09,163.748,192.291,242.198,324.437,444.043,600.107,787.869,1001.667,1242.492,1517.155,1830.478,2185.211,2584.99,3034.534,3540.265,4108.417,4731.709,5378.773,6015.452,6628.262,7217.417,7783.628,8325.992,8844.314,9338.576,9807.58,10254.647,10684.297,11095.506,11497.374,11910.401,12345.993,12805.461,13291.098,13813.943,14388.596,15023.67,15731.756,16520.596,17345.809,18133.725,18881.527,19648.051,20465.654,21341.273,22291.43,23344.176,24531.383,25894.83,27526.93
32.786,-97.058,167.842,196.416,246.386,328.656,448.355,604.576,792.525,1006.604,1247.679,1522.593,1836.228,2191.242,2591.115,3040.409,3545.171,4111.854,4733.646,5379.21,6014.89,6627.012,7215.229,7780.659,8322.492,8840.002,9332.795,9800.143,10245.772,10674.234,11084.568,11485.968,11899.12,12335.493,12796.742,13285.098,13809.287,14382.596,15015.826,15724.568,16514.471,17339.309,18127.131,18875.121,19641.332,20457.998,21333.773,22285.836,23339.145,24524.977,25888.111,27520.773
32.786,-97.027,152.592,181.229,231.261,313.656,433.48,589.888,778.15,992.542,1233.96,1509.28,1823.509,2179.336,2579.959,3029.909,3535.421,4103.354,4726.803,5373.679,6010.358,6623.418,7212.136,7777.753,8319.43,8836.346,9328.326,9795.174,10240.585,10669.016,11079.568,11481.374,11894.933,12331.712,12793.273,13282.535,13807.068,14378.814,15010.701,15720.756,16511.814,17335.777,18123.412,18872.184,19638.27,20453.529,21328.898,22282.68,23337.176,24521.789,25883.83,27516.867
32.786,-96.995,149.029,177.666,227.729,310.187,430.074,586.607,775.088,989.667,1231.179,1506.593,1820.947,2177.055,2578.24,3028.815,3534.827,4103.292,4727.303,5374.679,6011.89,6625.23,7213.948,7779.315,8320.555,8837.033,9328.732,9795.611,10241.21,10669.953,11080.943,11482.874,11895.964,12331.181,12790.711,13279.004,13803.756,14375.721,15008.232,15719.912,16511.127,17333.777,18121.068,18870.59,19636.582,20450.373,21324.867,22279.617,23335.676,24519.977,25880.611,27513.68
32.786,-96.963,148.029,176.698,226.761,309.281,429.199,585.888,774.619,989.385,1231.054,1506.593,1820.978,2177.117,2578.584,3030.096,3537.64,4108.104,4733.365,5380.96,6018.296,6631.637,7220.229,7785.503,8326.836,8843.408,9335.201,9802.049,10247.616,10676.203,11086.693,11487.593,11898.62,12330.712,12787.648,13274.441,13798.881,14371.908,15006.42,15720.443,16511.971,17333.152,18119.287,18868.34,19633.988,20446.967,21320.555,22275.211,23332.645,24517.977,25877.799,27510.617
32.786,-96.931,143.436,172.104,222.198,304.718,424.761,581.701,770.713,985.667,1227.648,1503.53,1818.103,2174.305,2575.803,3027.659,3535.921,4108.229,4735.959,5385.054,6022.858,6636.418,7225.104,7790.097,8331.148,8847.658,9339.357,9805.955,10251.116,10679.172,11089.1,11489.155,11898.87,12329.493,12785.43,13270.691,13793.881,14367.596,15004.232,15721.256,16514.439,17335.027,18119.631,18866.996,19631.832,20444.748,21317.711,22271.242,23329.332,24516.32,25876.549,27509.305
32.785,-96.899,141.436,170.104,220.167,302.687,422.761,579.826,768.775,983.698,1225.835,1501.905,1816.603,2172.867,2574.271,3025.94,3533.765,4105.479,4735.24,5387.398,6025.733,6638.855,7227.292,7791.847,8332.273,8848.314,9339.732,9805.986,10250.804,10678.641,11088.287,11488.124,11897.87,12329.087,12784.742,13268.098,13790.287,14364.721,15003.264,15722.568,16517.627,17338.809,18122.381,18867.809,19631.488,20444.686,21317.461,22269.617,23327.176,24515.445,25877.049,27510.43
